Date,Open,High,Low,Close,Adj Close,Volume
2017-01-26,175.039993,176.080002,174.080002,175.119995,170.421158,627600
2017-01-27,174.160004,175.880005,173.679993,174.119995,169.447983,438800
2017-01-30,176.039993,181.119995,175.919998,178.160004,173.379623,634600
2017-01-31,180.039993,182.440002,179.240005,179.240005,174.430603,706500
2017-02-01,175.679993,178.080002,174.600006,175.559998,170.849365,623600
2017-02-02,176.559998,178.080002,174.600006,176.119995,171.394333,589100
2017-02-03,175.479996,176.119995,174.080002,174.639999,169.954025,503300
2017-02-06,175.720001,176.000000,173.919998,174.000000,169.331223,404700
2017-02-07,173.039993,173.399994,171.039993,172.080002,167.462738,558500
2017-02-08,172.800003,173.800003,170.600006,171.279999,166.684219,529600
2017-02-09,170.679993,171.039993,168.279999,169.360001,164.815720,693800
2017-02-10,168.440002,169.160004,167.000000,167.720001,163.219727,643600
2017-02-13,166.199997,166.360001,164.240005,164.839996,160.416992,595100
2017-02-14,164.720001,166.240005,163.160004,163.160004,158.782074,743900
2017-02-15,163.479996,163.839996,160.119995,160.360001,156.057205,713800
2017-02-16,160.080002,161.759995,159.119995,160.479996,156.173981,767800
2017-02-17,161.199997,161.279999,158.440002,158.479996,154.227676,797500
2017-02-21,157.600006,157.800003,155.759995,156.080002,151.892059,569300
2017-02-22,156.600006,157.320007,155.639999,155.880005,151.697403,444800
2017-02-23,155.279999,159.600006,155.279999,157.679993,153.449142,674400
2017-02-24,159.639999,159.960007,156.800003,156.800003,152.592743,682900
2017-02-27,157.639999,158.479996,156.199997,156.199997,152.008850,421700
2017-02-28,156.360001,158.960007,156.119995,157.520004,153.293427,539400
2017-03-01,154.759995,155.520004,151.639999,152.440002,148.349731,1038800
2017-03-02,152.559998,155.279999,152.479996,154.759995,150.607468,489200
2017-03-03,155.240005,156.360001,153.800003,153.919998,149.790009,400300
2017-03-06,155.559998,156.800003,154.199997,154.880005,150.724258,444200
2017-03-07,155.960007,156.559998,153.720001,155.759995,151.580643,438600
2017-03-08,155.639999,155.919998,153.479996,154.919998,150.763184,585200
2017-03-09,155.039993,157.080002,153.919998,154.559998,150.412827,512200
2017-03-10,152.520004,154.679993,151.919998,152.679993,148.583282,585100
